Price,Mileage,Model_Num,Type_Num,Cylinder,Liter,Doors,Sound,Leather,Model,Type
35622.1395,10340,1,1,4,2,2,1,0,9_3,Convertible
34819.29712,12251,1,1,4,2,2,0,0,9_3,Convertible
34355.00373,17711,1,1,4,2,2,1,0,9_3,Convertible
32737.08455,19112,1,1,4,2,2,1,1,9_3,Convertible
33540.53611,20925,1,1,4,2,2,0,1,9_3,Convertible
31970.54208,21208,1,1,4,2,2,1,0,9_3,Convertible
33287.4096,21661,1,1,4,2,2,0,1,9_3,Convertible
32075.98487,23553,1,1,4,2,2,1,0,9_3,Convertible
31969.06981,24559,1,1,4,2,2,0,0,9_3,Convertible
27666.23108,35157,1,1,4,2,2,0,0,9_3,Convertible
29246.23734,3907,1,2,4,2,4,0,1,9_3,Sedan
26337.8306,16068,1,2,4,2,4,0,0,9_3,Sedan
26775.03209,16688,1,2,4,2,4,0,0,9_3,Sedan
25299.96964,19569,1,2,4,2,4,1,0,9_3,Sedan
24896.5976,21266,1,2,4,2,4,1,0,9_3,Sedan
25996.8064,21433,1,2,4,2,4,1,1,9_3,Sedan
24801.61719,26345,1,2,4,2,4,1,1,9_3,Sedan
24063.01268,27674,1,2,4,2,4,1,1,9_3,Sedan
23249.84169,27686,1,2,4,2,4,0,0,9_3,Sedan
22244.87655,50387,1,2,4,2,4,0,1,9_3,Sedan
37088.56241,3828,2,1,4,2,2,1,1,9_3 HO,Convertible
33381.81915,17381,2,1,4,2,2,1,1,9_3 HO,Convertible
33358.76777,17590,2,1,4,2,2,1,1,9_3 HO,Convertible
33586.90609,18930,2,1,4,2,2,0,1,9_3 HO,Convertible
30731.94165,22479,2,1,4,2,2,0,0,9_3 HO,Convertible
30315.16944,23635,2,1,4,2,2,0,0,9_3 HO,Convertible
30166.85251,25049,2,1,4,2,2,0,0,9_3 HO,Convertible
30251.01842,27558,2,1,4,2,2,0,1,9_3 HO,Convertible
29142.71439,31655,2,1,4,2,2,1,1,9_3 HO,Convertible
29612.15405,32477,2,1,4,2,2,1,1,9_3 HO,Convertible
26841.08084,10003,2,2,4,2,4,1,0,9_3 HO,Sedan
27825.94997,10014,2,2,4,2,4,0,1,9_3 HO,Sedan
27284.75133,14281,2,2,4,2,4,1,1,9_3 HO,Sedan
27060.13756,17319,2,2,4,2,4,0,1,9_3 HO,Sedan
25618.28188,20208,2,2,4,2,4,0,1,9_3 HO,Sedan
25790.51414,21160,2,2,4,2,4,1,1,9_3 HO,Sedan
25148.37919,22272,2,2,4,2,4,1,1,9_3 HO,Sedan
24852.49528,22814,2,2,4,2,4,1,1,9_3 HO,Sedan
24173.52588,27015,2,2,4,2,4,0,0,9_3 HO,Sedan
23733.40225,27600,2,2,4,2,4,1,0,9_3 HO,Sedan
38324.80908,12090,2,1,4,2,2,1,1,9_3 HO,Convertible
38167.17358,13162,2,1,4,2,2,0,1,9_3 HO,Convertible
37383.50349,16088,2,1,4,2,2,0,1,9_3 HO,Convertible
36338.75133,18195,2,1,4,2,2,1,0,9_3 HO,Convertible
35580.33231,21167,2,1,4,2,2,1,0,9_3 HO,Convertible
35304.4947,21293,2,1,4,2,2,0,1,9_3 HO,Convertible
34392.99527,24031,2,1,4,2,2,0,1,9_3 HO,Convertible
33984.43077,25420,2,1,4,2,2,0,0,9_3 HO,Convertible
33248.34252,27051,2,1,4,2,2,0,1,9_3 HO,Convertible
28777.95969,48991,2,1,4,2,2,1,1,9_3 HO,Convertible
32197.34047,3867,2,2,4,2,4,1,0,9_3 HO,Sedan
32053.09716,5144,2,2,4,2,4,1,0,9_3 HO,Sedan
30274.71058,10800,2,2,4,2,4,1,0,9_3 HO,Sedan
30353.58555,11273,2,2,4,2,4,1,0,9_3 HO,Sedan
30122.42974,14568,2,2,4,2,4,1,1,9_3 HO,Sedan
26789.83261,22189,2,2,4,2,4,0,0,9_3 HO,Sedan
28291.76226,22328,2,2,4,2,4,1,0,9_3 HO,Sedan
27109.40589,22598,2,2,4,2,4,0,1,9_3 HO,Sedan
27256.49451,26400,2,2,4,2,4,1,0,9_3 HO,Sedan
25267.36768,34175,2,2,4,2,4,1,0,9_3 HO,Sedan
35033.21545,1676,3,2,4,2.3,4,1,1,9_5,Sedan
32746.13139,7924,3,2,4,2.3,4,0,1,9_5,Sedan
33183.3326,9795,3,2,4,2.3,4,1,1,9_5,Sedan
31002.73442,15087,3,2,4,2.3,4,1,1,9_5,Sedan
30075.99473,22052,3,2,4,2.3,4,1,1,9_5,Sedan
29844.204,23143,3,2,4,2.3,4,1,1,9_5,Sedan
28432.82421,25247,3,2,4,2.3,4,1,1,9_5,Sedan
28054.98236,26276,3,2,4,2.3,4,1,1,9_5,Sedan
28502.96241,28598,3,2,4,2.3,4,1,1,9_5,Sedan
24912.08058,38717,3,2,4,2.3,4,0,1,9_5,Sedan
31849.30795,16956,3,3,4,2.3,4,0,1,9_5,Wagon
32649.76051,16975,3,3,4,2.3,4,1,1,9_5,Wagon
29961.25494,20015,3,3,4,2.3,4,1,1,9_5,Wagon
31554.40533,20103,3,3,4,2.3,4,1,1,9_5,Wagon
29914.37958,22105,3,3,4,2.3,4,0,1,9_5,Wagon
30575.24882,22298,3,3,4,2.3,4,1,1,9_5,Wagon
30271.9223,23426,3,3,4,2.3,4,1,1,9_5,Wagon
28678.07525,25380,3,3,4,2.3,4,0,1,9_5,Wagon
28829.028,26503,3,3,4,2.3,4,0,1,9_5,Wagon
26955.0412,31773,3,3,4,2.3,4,0,1,9_5,Wagon
33005.77996,6409,3,3,4,2.3,4,1,1,9_5,Wagon
30661.26015,14278,3,3,4,2.3,4,0,1,9_5,Wagon
30443.8799,15050,3,3,4,2.3,4,0,1,9_5,Wagon
30322.15057,16225,3,3,4,2.3,4,1,1,9_5,Wagon
31153.00896,17317,3,3,4,2.3,4,0,1,9_5,Wagon
31084.93761,18187,3,3,4,2.3,4,1,1,9_5,Wagon
31156.59579,18805,3,3,4,2.3,4,1,1,9_5,Wagon
29114.54451,21960,3,3,4,2.3,4,0,1,9_5,Wagon
25845.20611,36557,3,3,4,2.3,4,1,1,9_5,Wagon
24903.47774,40719,3,3,4,2.3,4,1,1,9_5,Wagon
30800.65839,8017,4,2,4,2.3,4,0,1,9_5 HO,Sedan
28416.46167,14613,4,2,4,2.3,4,0,1,9_5 HO,Sedan
28185.77625,19854,4,2,4,2.3,4,1,1,9_5 HO,Sedan
28204.60358,22021,4,2,4,2.3,4,1,1,9_5 HO,Sedan
26653.23939,22590,4,2,4,2.3,4,1,1,9_5 HO,Sedan
27610.8642,22881,4,2,4,2.3,4,1,1,9_5 HO,Sedan
26698.07815,23055,4,2,4,2.3,4,1,1,9_5 HO,Sedan
27241.43618,23204,4,2,4,2.3,4,1,1,9_5 HO,Sedan
27703.204,24738,4,2,4,2.3,4,1,1,9_5 HO,Sedan
24405.06676,31344,4,2,4,2.3,4,1,1,9_5 HO,Sedan
30959.93213,17673,4,3,4,2.3,4,1,1,9_5 HO,Wagon
29986.7915,18464,4,3,4,2.3,4,0,1,9_5 HO,Wagon
29908.18098,19830,4,3,4,2.3,4,1,1,9_5 HO,Wagon
28328.26654,20685,4,3,4,2.3,4,0,1,9_5 HO,Wagon
29197.7913,20907,4,3,4,2.3,4,0,1,9_5 HO,Wagon
29321.08251,21545,4,3,4,2.3,4,0,1,9_5 HO,Wagon
29481.52876,21822,4,3,4,2.3,4,1,1,9_5 HO,Wagon
26792.30016,25357,4,3,4,2.3,4,0,1,9_5 HO,Wagon
27788.81324,26786,4,3,4,2.3,4,0,1,9_5 HO,Wagon
26012.37462,34269,4,3,4,2.3,4,1,1,9_5 HO,Wagon
27280.98206,4836,5,3,4,2.5,4,1,0,9-2X AWD,Wagon
25959.12203,17431,5,3,4,2.5,4,0,1,9-2X AWD,Wagon
23274.48071,21616,5,3,4,2.5,4,1,0,9-2X AWD,Wagon
23329.20826,25218,5,3,4,2.5,4,0,1,9-2X AWD,Wagon
